,filepath,frame,filename,extension,class
0,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/50.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/50.jpg,50.jpg,.jpg,Dog
1,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/104.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/104.jpg,104.jpg,.jpg,Dog
2,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/178.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/178.jpg,178.jpg,.jpg,Dog
3,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/32.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/32.jpg,32.jpg,.jpg,Dog
4,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/126.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/126.jpg,126.jpg,.jpg,Dog
5,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/93.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/93.jpg,93.jpg,.jpg,Dog
6,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/142.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/142.jpg,142.jpg,.jpg,Dog
7,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/13.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/13.jpg,13.jpg,.jpg,Dog
8,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/4.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/4.jpg,4.jpg,.jpg,Dog
9,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/102.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/102.jpg,102.jpg,.jpg,Dog
10,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/30.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/30.jpg,30.jpg,.jpg,Dog
11,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/57.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/57.jpg,57.jpg,.jpg,Dog
12,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/68.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/68.jpg,68.jpg,.jpg,Dog
13,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/206.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/206.jpg,206.jpg,.jpg,Dog
14,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/164.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/164.jpg,164.jpg,.jpg,Dog
15,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/67.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/67.jpg,67.jpg,.jpg,Dog
16,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/29.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/29.jpg,29.jpg,.jpg,Dog
17,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/83.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/83.jpg,83.jpg,.jpg,Dog
18,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/18.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/18.jpg,18.jpg,.jpg,Dog
19,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/76.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Dog/76.jpg,76.jpg,.jpg,Dog
20,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/1.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/1.jpg,1.jpg,.jpg,Cat
21,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/104.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/104.jpg,104.jpg,.jpg,Cat
22,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/79.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/79.jpg,79.jpg,.jpg,Cat
23,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/12.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/12.jpg,12.jpg,.jpg,Cat
24,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/45.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/45.jpg,45.jpg,.jpg,Cat
25,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/10.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/10.jpg,10.jpg,.jpg,Cat
26,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/68.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/68.jpg,68.jpg,.jpg,Cat
27,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/40.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/40.jpg,40.jpg,.jpg,Cat
28,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/106.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/106.jpg,106.jpg,.jpg,Cat
29,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/107.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/107.jpg,107.jpg,.jpg,Cat
30,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/0.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/0.jpg,0.jpg,.jpg,Cat
31,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/46.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/46.jpg,46.jpg,.jpg,Cat
32,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/125.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/125.jpg,125.jpg,.jpg,Cat
33,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/32.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/32.jpg,32.jpg,.jpg,Cat
34,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/83.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/83.jpg,83.jpg,.jpg,Cat
35,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/84.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/84.jpg,84.jpg,.jpg,Cat
36,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/47.jpg,/home/kyra/animl-py/examples/Cats_vs_Dogs/Cat/47.jpg,47.jpg,.jpg,Cat
