FilePath,FileName,FileModifyDate,Frame,file,max_detection_conf,category,conf,bbox1,bbox2,bbox3,bbox4
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000026.JPG,EK000026.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000026.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000026.JPG,0.314,1,0.0473,0.02,0.8398,0.02,0.1119
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000026.JPG,EK000026.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000026.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000026.JPG,0.314,1,0.314,0.6265,0.7524,0.1314,0.08741
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000022.JPG,EK000022.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000022.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000022.JPG,0.0133,1,0.0133,0.6096,0.4538,0.04197,0.03227
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,EK000010.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,0.969,2,0.00895,0.6881,0.07965,0.07996,0.1854
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,EK000010.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,0.969,2,0.0115,0.6547,0.02,0.1148,0.3312
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,EK000010.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,0.969,2,0.682,0.6847,0.154,0.08363,0.1879
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,EK000010.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000010.JPG,0.969,2,0.969,0.02,0.02,0.8023,0.9554
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000036.JPG,EK000036.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000036.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000036.JPG,0.805,1,0.00555,0.2316,0.5947,0.1449,0.1139
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000036.JPG,EK000036.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000036.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000036.JPG,0.805,1,0.739,0.2484,0.562,0.04626,0.05147
/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000036.JPG,EK000036.JPG,2022-08-25 11:50:17,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000036.JPG,/home/kyra/animl-py/examples/Peru/S90/SDZG 2/EK000036.JPG,0.805,1,0.805,0.4926,0.5098,0.07046,0.04697
