FilePath,FileName,SourceFile,CreateDate,Width,Height,FileModifyDate,DateTime
C:\Users\tswanson\animl-py\examples\Southwest\2021-05-28_SYFR0041.JPG,2021-05-28_SYFR0041.JPG,C:\Users\tswanson\animl-py\examples\Southwest\2021-05-28_SYFR0041.JPG,2021:05:29 03:51:33,4032,3024,2024-07-11 09:21:26.751900,2021:05:29 03:51:33
C:\Users\tswanson\animl-py\examples\Southwest\2021-06-30_SYFR0218.JPG,2021-06-30_SYFR0218.JPG,C:\Users\tswanson\animl-py\examples\Southwest\2021-06-30_SYFR0218.JPG,2021:07:01 05:20:42,4032,3024,2024-07-11 09:21:26.767542,2021:07:01 05:20:42
C:\Users\tswanson\animl-py\examples\Southwest\2021-07-24_SYFR0655.JPG,2021-07-24_SYFR0655.JPG,C:\Users\tswanson\animl-py\examples\Southwest\2021-07-24_SYFR0655.JPG,2021:07:24 23:00:28,4032,3024,2024-07-11 09:21:26.816572,2021:07:24 23:00:28
C:\Users\tswanson\animl-py\examples\Southwest\2021-08-08_RCNX0063.JPG,2021-08-08_RCNX0063.JPG,C:\Users\tswanson\animl-py\examples\Southwest\2021-08-08_RCNX0063.JPG,2021:08:09 03:55:47,3776,2124,2024-07-11 09:21:26.831178,2021:08:09 03:55:47
C:\Users\tswanson\animl-py\examples\Southwest\2021-11-11_11110007.JPG,2021-11-11_11110007.JPG,C:\Users\tswanson\animl-py\examples\Southwest\2021-11-11_11110007.JPG,2021:11:11 21:00:25,7296,4104,2024-07-11 09:21:26.990035,2021:11:11 21:00:25
C:\Users\tswanson\animl-py\examples\Southwest\2021-11-14_11150025.JPG,2021-11-14_11150025.JPG,C:\Users\tswanson\animl-py\examples\Southwest\2021-11-14_11150025.JPG,2021:11:15 02:26:07,7296,4104,2024-07-11 09:21:27.131785,2021:11:15 02:26:07
C:\Users\tswanson\animl-py\examples\Southwest\2021-12-07_12080069.JPG,2021-12-07_12080069.JPG,C:\Users\tswanson\animl-py\examples\Southwest\2021-12-07_12080069.JPG,2021:12:08 06:08:37,3840,2160,2024-07-11 09:21:27.186069,2021:12:08 06:08:37
C:\Users\tswanson\animl-py\examples\Southwest\IMAG0004.JPG,IMAG0004.JPG,C:\Users\tswanson\animl-py\examples\Southwest\IMAG0004.JPG,2013:04:08 14:45:49,2560,1920,2024-07-11 09:21:27.201098,2013:04:08 14:45:49
C:\Users\tswanson\animl-py\examples\Southwest\IMAG0031.JPG,IMAG0031.JPG,C:\Users\tswanson\animl-py\examples\Southwest\IMAG0031.JPG,2013:03:31 16:27:36,2560,1920,2024-07-11 09:21:27.211016,2013:03:31 16:27:36
C:\Users\tswanson\animl-py\examples\Southwest\IMAG0046.JPG,IMAG0046.JPG,C:\Users\tswanson\animl-py\examples\Southwest\IMAG0046.JPG,2013:06:13 02:37:40,2560,1920,2024-07-11 09:21:27.226880,2013:06:13 02:37:40
C:\Users\tswanson\animl-py\examples\Southwest\IMAG0104.JPG,IMAG0104.JPG,C:\Users\tswanson\animl-py\examples\Southwest\IMAG0104.JPG,2013:04:28 00:52:34,2560,1920,2024-07-11 09:21:27.226880,2013:04:28 00:52:34
C:\Users\tswanson\animl-py\examples\Southwest\IMAG0107.JPG,IMAG0107.JPG,C:\Users\tswanson\animl-py\examples\Southwest\IMAG0107.JPG,2013:06:07 05:36:45,2560,1920,2024-07-11 09:21:27.241914,2013:06:07 05:36:45
C:\Users\tswanson\animl-py\examples\Southwest\IMAG1065.JPG,IMAG1065.JPG,C:\Users\tswanson\animl-py\examples\Southwest\IMAG1065.JPG,2013:05:31 23:07:22,2560,1920,2024-07-11 09:21:27.257882,2013:05:31 23:07:22
