FilePath,FileName,FileModifyDate,Frame,file,max_detection_conf,category,conf,bbox1,bbox2,bbox3,bbox4
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-05-28_SYFR0041.JPG,2021-05-28_SYFR0041.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-05-28_SYFR0041.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-05-28_SYFR0041.JPG,0.976,1,0.976,0.6567,0.4388,0.3432,0.5168
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0104.JPG,IMAG0104.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0104.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0104.JPG,0.975,1,0.975,0.3468,0.5927,0.2417,0.214
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0004.JPG,IMAG0004.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0004.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0004.JPG,0.949,1,0.0224,0.7144,0.4796,0.05976,0.03072
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0004.JPG,IMAG0004.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0004.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0004.JPG,0.949,1,0.949,0.7242,0.4026,0.2464,0.1114
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0046.JPG,IMAG0046.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0046.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0046.JPG,0.945,1,0.0215,0.4523,0.4223,0.02304,0.05677
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0046.JPG,IMAG0046.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0046.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0046.JPG,0.945,1,0.0774,0.02,0.2817,0.05195,0.1348
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0046.JPG,IMAG0046.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0046.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/IMAG0046.JPG,0.945,1,0.945,0.7972,0.4791,0.09179,0.1375
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-07-24_SYFR0655.JPG,2021-07-24_SYFR0655.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-07-24_SYFR0655.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-07-24_SYFR0655.JPG,0.975,1,0.975,0.147,0.4513,0.2351,0.2119
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-06-30_SYFR0218.JPG,2021-06-30_SYFR0218.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-06-30_SYFR0218.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-06-30_SYFR0218.JPG,0.971,1,0.971,0.5411,0.3716,0.2425,0.2526
/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-08-08_RCNX0063.JPG,2021-08-08_RCNX0063.JPG,2023-09-26 14:54:34,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-08-08_RCNX0063.JPG,/home/unduwapkandagedon/CTF/Animal_ML/examples/Southwest/2021-08-08_RCNX0063.JPG,0.969,1,0.969,0.3222,0.5772,0.1877,0.1294
